Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
ITGA7	3.77557272634045e-126	5.34244817335416	0.223	0.007	5.98541544306752e-122
LAPTM5	7.73135146870976e-80	-5.02141280337538	0.07	0.74	1.22565114833456e-75
NT5DC2	4.22930535553938e-71	3.51694590458629	0.244	0.024	6.70471778013658e-67
TIMP3	4.09407133975874e-52	3.19301178529888	0.339	0.068	6.49033129491953e-48
HCST	3.54926034722245e-46	-4.73385355190464	0.041	0.538	5.62664242845174e-42
PTPRD	3.51728469092335e-45	4.70501825273886	0.091	0.004	5.57595142052078e-41
SORBS2	1.92437893195157e-30	2.28468645379051	0.169	0.028	3.05071792082282e-26
FOS	3.77348149640478e-18	1.09141715434494	0.612	0.349	5.9821002162505e-14
CCL2	1.10649194968032e-16	1.39536848762994	0.252	0.09	1.75412168782822e-12
SAT1	4.54027882228172e-09	-2.11420285081129	0.207	0.359	7.19770401696321e-05
CD14	9.64469367329743e-09	-3.84520382085795	0.041	0.18	0.000152897328802784
CD163	1.94455269487577e-07	-4.12121242531167	0.017	0.128	0.00308269938718655
S100A9	2.69637862344747e-07	-6.53189285870574	0.004	0.106	0.00427456903175128
LGALS9	5.08689903009684e-07	-3.16303260100629	0.008	0.11	0.00806426103241251
F5	1.83621537275747e-06	-0.947142947870192	0.269	0.404	0.0291095223043241
TMEM212	3.83672532558896e-06	-0.734753089147408	0.368	0.504	0.0608236065865618
C1QC	4.67125710267345e-06	-3.91611786053578	0.025	0.12	0.0740534388486822
MMP9	0.000539829591117356	-4.61352455696386	0.008	0.062	1
ACKR1	0.00104338892052418	-2.2175661499748	0.045	0.112	1
SIGLEC1	0.00110625220589365	-3.21086112609691	0.004	0.05	1
HMOX1	0.00478811965947763	-2.14256114692824	0.021	0.066	1
FTL	0.241987647068104	-1.09515250695952	0.913	0.875	1
PTGDS	0.675938803981559	0.289114009642488	0.066	0.059	1
IGSF9B	0.686485735440125	0.29987678960252	0.029	0.025	1
TGFBI	0.690049890861596	0.249042192737786	0.157	0.165	1
