Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
TIMP3	3.59969642627994e-172	3.4940562827153	0.505	0.059	7.23934948289159e-168
SORBS2	5.66571307591117e-142	4.11351378877352	0.313	0.022	1.1394315566965e-137
LAPTM5	1.17645930015448e-95	-3.6065657310059	0.299	0.749	2.36597729854067e-91
ACKR1	2.82054903773701e-67	4.1427677351326	0.409	0.107	5.67240616979291e-63
HCST	2.9716867557052e-67	-4.32598757759031	0.154	0.6	5.97635923439873e-63
PTGDS	9.02272191976127e-29	1.63937397168267	0.214	0.058	1.81455960528319e-24
FOS	1.38918780128452e-13	0.663250778069233	0.613	0.388	2.79379558716329e-09
F5	2.19812341279616e-12	0.565445628337716	0.665	0.442	4.42064599547436e-08
TGFBI	9.16443765309067e-12	-3.69452943030586	0.058	0.195	1.84306005641306e-07
TMEM212	1.89118964209275e-08	-0.841865766895976	0.533	0.578	0.000380337148921272
C1QC	4.4003349045268e-06	-4.5413117614792	0.058	0.135	0.0884951352649384
CD163	5.95695228487107e-06	-3.7060240882677	0.066	0.143	0.119800267401042
S100A9	7.30797972782908e-06	-5.41500541057989	0.052	0.127	0.146970780306371
LGALS9	2.95460335297912e-05	-0.137346798909839	0.223	0.129	0.59420028031763
FTL	5.76209597944066e-05	-1.55865975518405	0.912	0.815	1
SIGLEC1	0.000588747621708031	-3.1062468441245	0.019	0.063	1
CCL2	0.0058909224621966	-0.421070319332102	0.168	0.114	1
ITGA7	0.0114266386394712	-3.40466760092294	0.005	0.027	1
CD14	0.101901081364919	-2.20430533274276	0.187	0.196	1
SAT1	0.146740805254206	-0.974199521206677	0.442	0.393	1
NT5DC2	0.157024732188089	-0.136002229443532	0.069	0.051	1
HMOX1	0.286409081499657	-1.93702429582469	0.069	0.082	1
IGSF9B	0.302009391051909	0.253774933151069	0.038	0.029	1
MMP9	0.548547898383093	-2.41417561919761	0.085	0.073	1
PTPRD	0.998966331312053	0.105906915350125	0.011	0.011	1
