Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
TIMP3	1.06367560392334e-74	2.50681190988771	0.764	0.074	1.68624493489968e-70
FOS	7.62765357624155e-19	2.00106385054712	0.836	0.357	1.20921192144157e-14
HCST	2.99956300334138e-08	-2.64933861445037	0.145	0.516	0.000475520722919709
LAPTM5	3.86862850981305e-08	0.761134422134556	0.982	0.7	0.000613293677660662
CCL2	1.20099484014046e-07	1.70490889398295	0.309	0.096	0.00190393712007467
NT5DC2	3.62371351431401e-07	2.48156864353917	0.164	0.035	0.005744673034242
SAT1	0.000109603476813973	0.850504898281508	0.6	0.347	1
F5	0.0011436576068813	0.56803049038731	0.636	0.394	1
CD14	0.00209540278517594	-4.10911900500787	0.018	0.175	1
TGFBI	0.00846397504575517	-2.8916005580399	0.036	0.166	1
S100A9	0.0125923883708696	-5.33210912497157	0	0.102	1
TMEM212	0.0137820425576926	0.373868776710951	0.691	0.494	1
FTL	0.0208745978970486	-0.797848827364319	0.964	0.876	1
CD163	0.0446231683676512	-2.65985184113305	0.036	0.123	1
C1QC	0.0585025040178651	-3.1343542807265	0.036	0.115	1
SIGLEC1	0.0960906168006382	-2.01510261818782	0	0.048	1
HMOX1	0.160049601097897	-2.12679548970355	0.018	0.064	1
PTGDS	0.186259415834053	-2.62807949507857	0.018	0.06	1
NEDD4	0.213541947284931	0.647862394534611	0.145	0.094	1
ITGA7	0.297882480353866	-0.44789658827082	0	0.019	1
MMP9	0.349239373647604	-1.40989932502904	0.091	0.059	1
PTPRD	0.451668656869666	1.89402298180401	0.018	0.009	1
SORBS2	0.476419413459451	-0.531461304909951	0.018	0.036	1
LGALS9	0.5794153963056	0.373089152244051	0.127	0.104	1
IGSF9B	0.586827660520149	1.02260718786542	0.036	0.025	1
ACKR1	0.954627426271748	-1.02622599665953	0.109	0.109	1
