Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
TCL1A	9.87872050409194e-47	3.66999358383534	0.116	0.004	1.5660735615137e-42
HCST	9.49090528925475e-21	-2.9624643143695	0.078	0.524	1.50459321550556e-16
FOS	1.71770617270497e-06	-2.16549354181544	0.186	0.368	0.0272307959558919
TGFBI	1.04645321775054e-05	-3.40737761097484	0.023	0.169	0.165894228609993
CD14	1.33094101721041e-05	-3.36034249453562	0.031	0.177	0.210994079458367
S100A9	0.000348607015225949	-5.58602635055697	0.008	0.104	1
TIMP3	0.000537205824352383	-5.23785848801062	0	0.085	1
CD163	0.00104988243968557	-3.1753459171629	0.031	0.125	1
ACKR1	0.00167002311082539	-2.69784339334344	0.023	0.111	1
CCL2	0.00336672115657582	-3.74143266189112	0.023	0.101	1
PTGDS	0.00367976218527192	-4.88390445059263	0	0.062	1
SIGLEC1	0.0101575275070845	-3.26946809452745	0	0.049	1
LAPTM5	0.0103676684837136	0.350849271849115	0.744	0.703	1
C1QC	0.0106284574440191	-2.79963918968336	0.047	0.116	1
MMP9	0.0118212189046811	-4.25374986078051	0.008	0.061	1
TMEM212	0.0764877814878482	0.312307537124724	0.543	0.495	1
SAT1	0.0892811444994497	-0.525489491530916	0.287	0.352	1
NT5DC2	0.107549359883995	1.103990301	0.062	0.035	1
FTL	0.171518960749888	-0.501740049886962	0.93	0.876	1
SORBS2	0.205994795637081	-1.19460529005674	0.016	0.036	1
HMOX1	0.246370489705888	-1.04260219661169	0.039	0.065	1
ITGA7	0.338125314221175	-0.688965241996989	0.008	0.019	1
IGSF9B	0.484388770988769	-0.231758288474206	0.016	0.025	1
