Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
HCST	1.33977486432244e-25	0.835902539543787	0.765	0.546	2.69442122963886e-21
TGFBI	4.6603809819616e-19	-5.78377377227408	0.008	0.199	9.37249219282296e-15
FTL	7.64325917489057e-18	-1.94491418611408	0.777	0.827	1.53713585266224e-13
SAT1	1.60194345472687e-17	-1.86565791614461	0.19	0.415	3.22166848180121e-13
CD14	3.59494419316982e-15	-3.71113986828586	0.039	0.209	7.22979226688383e-11
CD163	3.51803805819289e-11	-3.80895770633007	0.022	0.147	7.07512633883172e-07
C1QC	1.81199897773788e-09	-3.82981796586158	0.028	0.138	3.64411114412866e-05
PTGDS	6.45157499051104e-09	2.27123628631985	0.142	0.065	0.000129747624634167
LAPTM5	1.52007374285537e-07	-0.679341499662972	0.687	0.715	0.00305702030425644
TIMP3	2.77379099921238e-07	-3.78986506176643	0.02	0.102	0.00557837107851601
S100A9	1.08716655669831e-06	-4.41157989252494	0.042	0.128	0.0218640066217598
HMOX1	1.51660770128247e-06	-2.65302959068783	0.014	0.087	0.0305004974804917
LGALS9	4.00739530091718e-06	-1.32842109402292	0.056	0.144	0.0805927268967453
CCL2	5.64487587071811e-06	-3.03788788459122	0.045	0.125	0.113524098636012
FOS	5.80101236238837e-06	-0.782860439164382	0.296	0.416	0.116664159619993
SIGLEC1	5.44963073066965e-05	-3.25436958608991	0.011	0.064	1
NT5DC2	0.00189057072027549	-1.13495393537993	0.017	0.055	1
MMP9	0.00225107706193065	-2.7572854642983	0.034	0.077	1
SORBS2	0.00270737009595336	-1.45500800639198	0.014	0.049	1
ACKR1	0.0114534299873691	-1.46312626071867	0.089	0.136	1
ITGA7	0.0341302773109816	-0.887150502151848	0.008	0.027	1
F5	0.0699202803267068	-0.168963723067398	0.413	0.464	1
IGSF9B	0.247793736743929	-0.732036781096084	0.02	0.03	1
PTPRD	0.307070275797917	-0.66614615417635	0.006	0.011	1
NEDD4	0.928551279849107	0.267711553005192	0.123	0.126	1
