Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CD14	4.94577502315628e-150	-4.47204362216471	0.043	0.334	7.84053714420965e-146
FTL	3.6810045377691e-142	-2.55341568543942	0.844	0.918	5.83549649372535e-138
FOS	1.4036778949843e-139	-2.23120504749919	0.214	0.548	2.22525056691861e-135
TGFBI	5.67505054977396e-116	-3.32629196683806	0.052	0.304	8.99665763655665e-112
CD163	1.05602802960904e-111	-4.36737577781145	0.024	0.244	1.67412123533921e-107
SAT1	8.27843911877659e-90	-2.02421164997353	0.238	0.49	1.31238095349965e-85
S100A9	6.37992680451694e-76	-5.39728759649963	0.027	0.192	1.01140979632007e-71
C1QC	6.89469743201945e-75	-4.29750943281605	0.038	0.209	1.09301638389804e-70
HCST	5.17265583090303e-68	0.999561721616365	0.62	0.377	8.20021128873057e-64
TIMP3	6.39800625031607e-65	-4.42530197266923	0.02	0.161	1.01427593086261e-60
LGALS9	8.6287638104706e-60	-2.33004303466794	0.037	0.188	1.3679179268739e-55
CCL2	7.55034205233263e-53	-4.19831077047639	0.038	0.173	1.19695572555629e-48
HMOX1	4.01277940653205e-50	-4.20794514123008	0.015	0.124	6.36145919317526e-46
SIGLEC1	4.11992981672152e-38	-3.45030597879912	0.011	0.093	6.53132473844863e-34
SORBS2	1.77563822296421e-28	-3.5005083168584	0.008	0.07	2.81491927486516e-24
NT5DC2	6.96920899116215e-26	-2.92032234807758	0.01	0.069	1.10482870136894e-21
ITGA7	1.94373472952865e-15	-3.20929787929533	0.004	0.037	3.08140266672177e-11
MMP9	2.06845232070248e-12	-3.38223325077734	0.037	0.086	3.27911746400964e-08
TMEM212	4.1588954902594e-11	0.410792844829432	0.531	0.452	6.59309702070822e-07
ACKR1	1.57441505963474e-08	-2.20870712806516	0.086	0.136	0.000249592019403895
PTGDS	3.32011651929341e-08	-2.72832610983171	0.043	0.081	0.000526338071803584
PTPRD	2.36079477367186e-06	-2.51927812087824	0.003	0.016	0.0374256795470199
TCL1A	8.84763755181295e-06	-3.45666614357856	0.002	0.014	0.140261598108891
F5	0.00141820074326954	0.224335894754298	0.413	0.376	1
IGSF9B	0.0634232136826458	0.601638570149052	0.029	0.02	1
LAPTM5	0.141279862618948	-0.198331785158325	0.765	0.628	1
